sampler,best_threshold,model_type,data,dev_auc,dev_youden,dev_precision,dev_recall,dev_f1,test_auc,test_youden,test_precision,test_recall,test_f1,dev_tn,dev_fp,dev_fn,dev_tp,test_tn,test_fp,test_fn,test_tp,param_bootstrap_type,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_subsample,param_iterations,param_loss_function,param_eval_metric,param_verbose
random_oversampler,0.43024802213337116,catboost,EF_hubert_text_expertk.csv,0.8488372093023256,0.6337209302325582,0.6428571428571429,0.75,0.6923076923076923,0.6410714285714286,0.1339285714285714,0.375,0.5625,0.45,38,5,3,9,20,15,7,9,Bernoulli,5,0.0010023276061573811,0.003948488148091073,6.937149122936027,0.745093675518516,400,Logloss,AUC,False
smote,0.070583375972498,catboost,EF_hubert_text_expertk.csv,0.8197674418604651,0.5406976744186046,0.5,0.75,0.6,0.7428571428571428,0.39642857142857135,0.5555555555555556,0.625,0.5882352941176471,34,9,3,9,27,8,6,10,Bayesian,4,0.034827254209933906,0.001468090136084912,6.1133348629505715,0.8155661737375656,400,Logloss,AUC,False
adasyn,0.329670546340389,catboost,EF_hubert_text_expertk.csv,0.8837209302325582,0.7306201550387597,0.5789473684210527,0.9166666666666666,0.7096774193548387,0.7803571428571429,0.3214285714285714,0.4444444444444444,0.75,0.5581395348837209,35,8,1,11,20,15,4,12,Bayesian,7,0.014287741476418998,0.25961083724572676,9.616004652620688,4.905184835111056,400,Logloss,AUC,False
random_oversampler,0.003994095456647776,lightgbm,EF_hubert_text_expertk.csv,0.7790697674418605,0.47093023255813954,0.42857142857142855,0.75,0.5454545454545454,0.7696428571428572,0.23571428571428577,0.4,0.75,0.5217391304347826,31,12,3,9,17,18,4,12,0.10853537294072226,43,14,17,0.9780233617172136,0.6216877392212994,8,0.000564970556534557,1.2585453487459686e-06,binary,auc,-1,gbdt
smote,0.002844775273886921,lightgbm,EF_hubert_text_expertk.csv,0.8023255813953488,0.5077519379844961,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.7035714285714286,0.1499999999999999,0.36363636363636365,0.75,0.4897959183673469,29,14,2,10,14,21,4,12,0.1287929708634431,288,4,22,0.9147519869018969,0.6241128113355093,7,5.797825519792671e-08,2.2680798178338839e-07,binary,auc,-1,gbdt
adasyn,0.44941732446766225,lightgbm,EF_hubert_text_expertk.csv,0.7596899224806202,0.4903100775193799,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.7625000000000001,0.30000000000000004,0.5333333333333333,0.5,0.5161290322580645,39,4,5,7,28,7,8,8,0.011444339784405472,71,12,18,0.7709028583010141,0.7156164746882099,6,4.500821103297752e-06,0.004174112056822964,binary,auc,-1,gbdt
random_oversampler,0.22032593052964278,lightgbm,EF_hubert_text.csv,0.751937984496124,0.43023255813953487,0.6666666666666666,0.5,0.5714285714285714,0.7321428571428571,0.26607142857142874,0.5384615384615384,0.4375,0.4827586206896552,40,3,6,6,29,6,9,7,0.0929854491038569,181,5,29,0.9269311711435847,0.5265432576682805,5,4.74075703431339e-08,4.464150011319187e-08,binary,auc,-1,gbdt
smote,0.03569345697927459,lightgbm,EF_hubert_text.csv,0.7635658914728682,0.47480620155038755,0.36666666666666664,0.9166666666666666,0.5238095238095238,0.7642857142857143,0.3660714285714286,0.42857142857142855,0.9375,0.5882352941176471,24,19,1,11,15,20,1,15,0.06685251074434889,380,12,31,0.8710094613314082,0.5145868409215589,1,0.00018647723312377863,0.0007942769522660203,binary,auc,-1,gbdt
adasyn,0.4872221774977476,lightgbm,EF_hubert_text.csv,0.7519379844961241,0.4844961240310078,0.4,0.8333333333333334,0.5405405405405406,0.7571428571428571,0.2410714285714286,0.3939393939393939,0.8125,0.5306122448979592,28,15,2,10,15,20,3,13,0.0017874934779629195,17,12,59,0.5112836664409635,0.9275765354926407,5,0.29407146041572596,0.07074117070520063,binary,auc,-1,gbdt
random_oversampler,0.2123825893307527,catboost,EF_hubert_text.csv,0.874031007751938,0.7209302325581395,0.5,1.0,0.6666666666666666,0.7660714285714286,0.42321428571428577,0.45454545454545453,0.9375,0.6122448979591837,31,12,0,12,17,18,1,15,Bernoulli,5,0.0036653041162909615,0.0019430467329134477,2.862009169917203,0.7114196870227917,400,Logloss,AUC,False
smote,0.4508457863032273,catboost,EF_hubert_text.csv,0.8391472868217054,0.567829457364341,0.4230769230769231,0.9166666666666666,0.5789473684210527,0.8535714285714286,0.3660714285714286,0.42857142857142855,0.9375,0.5882352941176471,28,15,1,11,15,20,1,15,Bayesian,3,0.0022274343780888826,0.023642446487988113,4.846848684207118,1.429288480960758,400,Logloss,AUC,False
adasyn,0.22833666691247,catboost,EF_hubert_text.csv,0.8817829457364341,0.7073643410852712,0.55,0.9166666666666666,0.6875,0.7732142857142857,0.4357142857142857,0.5217391304347826,0.75,0.6153846153846154,34,9,1,11,24,11,4,12,Bernoulli,5,0.009191860155007371,0.0078086646866922,2.2636779346745786,0.5001797834265299,400,Logloss,AUC,False
