Model_Name,Data,Oversampler,AUC,Youden_Index,Best_Threshold,TN,FP,FN,TP,False_Negative_IDs,best_params,test_auc,test_youden,test_precision,test_recall,test_f1,test_TN,test_FP,test_FN,test_TP
Baseline_Linear,VGG16,RandomOverSampler,0.5663,0.3258,0.89,29,15,4,8,"[350, 402, 412, 448]","{'lr': 0.014153958754618778, 'optimizer': 'SGD', 'epochs': 10}",0.5663,0.2424,0.3182,0.5833,0.4118,29,15,5,7
Baseline_Linear,VGG16,SMOTE,0.536,0.2727,1.0,23,21,3,9,"[350, 402, 448]","{'lr': 0.09956055660659006, 'optimizer': 'SGD', 'epochs': 10}",0.536,0.053,0.2381,0.4167,0.303,28,16,7,5
Baseline_Linear,VGG16,BorderlineSMOTE,0.5852,0.3864,0.74,28,16,3,9,"[388, 402, 448]","{'lr': 0.014570803721772194, 'optimizer': 'Adam', 'epochs': 20}",0.5852,0.3864,0.36,0.75,0.4865,28,16,3,9
Baseline_Linear,DenseNet201,,0.5682,0.3182,0.734,25,19,3,9,"[350, 402, 448]","{'lr': 0.019737206141106276, 'optimizer': 'SGD', 'epochs': 30}",0.5682,0.2348,0.2963,0.6667,0.4103,25,19,4,8
Baseline_Linear,DenseNet201,RandomOverSampler,0.589,0.303,0.97,28,16,4,8,"[350, 402, 448, 617]","{'lr': 0.07641926047777683, 'optimizer': 'SGD', 'epochs': 30}",0.589,0.2197,0.3043,0.5833,0.4,28,16,5,7
Baseline_Linear,DenseNet201,SMOTE,0.536,0.1515,0.546,25,19,5,7,"[347, 402, 412, 448, 617]","{'lr': 0.0037397212314010113, 'optimizer': 'Adam', 'epochs': 30}",0.536,0.1515,0.2692,0.5833,0.3684,25,19,5,7
Baseline_Linear,DenseNet201,BorderlineSMOTE,0.5701,0.2955,0.993,24,20,3,9,"[350, 402, 448]","{'lr': 0.054177233195588384, 'optimizer': 'SGD', 'epochs': 10}",0.5701,0.2121,0.2857,0.6667,0.4,24,20,4,8
Baseline_Linear,expert_k,ADASYN,0.6799,0.3258,0.532,29,15,4,8,"[347, 381, 412, 698]","{'lr': 0.03142880890840111, 'optimizer': 'Adam', 'epochs': 10}",0.6799,0.3258,0.3478,0.6667,0.4571,29,15,4,8
Baseline_Linear,bow,ADASYN,0.5701,0.2121,0.919,35,9,7,5,"[347, 381, 388, 402, 412, 448, 617]","{'lr': 0.09162476539824242, 'optimizer': 'Adam', 'epochs': 30}",0.5701,0.2121,0.3571,0.4167,0.3846,35,9,7,5
Baseline_Linear,deep_rep,ADASYN,0.5502,0.3182,1.0,25,19,3,9,"[350, 402, 448]","{'lr': 0.06986305151332652, 'optimizer': 'SGD', 'epochs': 10}",0.5502,0.0758,0.25,0.4167,0.3125,29,15,7,5
Baseline_Linear,hubert,ADASYN,0.7539,0.5271,1.0,37,6,4,8,"[347, 388, 412, 448]","{'lr': 0.09540141357202427, 'optimizer': 'Adam', 'epochs': 20}",0.7539,0.2636,0.5714,0.3333,0.4211,40,3,8,4
Baseline_Linear,BOW_MFCC,ADASYN,0.5417,0.1667,0.264,11,33,1,11,[448],"{'lr': 0.0012956829027419847, 'optimizer': 'Adam', 'epochs': 20}",0.5417,0.0833,0.2326,0.8333,0.3636,11,33,2,10
Baseline_Linear,BOW_Egemaps,ADASYN,0.4659,0.1818,0.005,8,36,0,12,[],"{'lr': 0.09338620272575232, 'optimizer': 'Adam', 'epochs': 40}",0.4659,0.0985,0.234,0.9167,0.3729,8,36,1,11
Baseline_Linear,VGG16,ADASYN,0.5,0.1439,1.0,32,12,7,5,"[350, 365, 381, 388, 402, 412, 448]","{'lr': 0.032528201810536464, 'optimizer': 'Adam', 'epochs': 10}",0.5,0.1439,0.2941,0.4167,0.3448,32,12,7,5
Baseline_Linear,DenseNet201,ADASYN,0.6222,0.3409,0.966,26,18,3,9,"[350, 402, 448]","{'lr': 0.09531346496588766, 'optimizer': 'SGD', 'epochs': 30}",0.6222,0.3182,0.3214,0.75,0.45,25,19,3,9
Baseline_Linear,all,ADASYN,0.4536,0.1439,0.446,32,12,7,5,"[347, 381, 388, 402, 441, 617, 698]","{'lr': 0.07205607405761723, 'optimizer': 'SGD', 'epochs': 10}",0.4536,0.0606,0.25,0.3333,0.2857,32,12,8,4
Baseline_Linear,all_incl_hubert,ADASYN,0.4399,0.1163,0.0,5,38,0,12,[],"{'lr': 0.029104708546558247, 'optimizer': 'SGD', 'epochs': 10}",0.4399,0.0,0.2182,1.0,0.3582,0,43,0,12
Baseline_Linear,ek_egemaps,ADASYN,0.5682,0.2803,0.635,27,17,4,8,"[350, 381, 448, 698]","{'lr': 0.0004961047485569833, 'optimizer': 'Adam', 'epochs': 30}",0.5682,0.197,0.2917,0.5833,0.3889,27,17,5,7
Baseline_Linear,ek_mfcc,ADASYN,0.5606,0.1818,0.642,30,14,6,6,"[365, 381, 412, 441, 448, 617]","{'lr': 0.06530486491031823, 'optimizer': 'SGD', 'epochs': 30}",0.5606,0.0985,0.2632,0.4167,0.3226,30,14,7,5
