mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__dual,param_classifier__penalty,param_classifier__solver,param_vectorizer__max_df,param_vectorizer__min_df,param_classifier__l1_ratio,params,split0_test_ap,split1_test_ap,split2_test_ap,split3_test_ap,split4_test_ap,mean_test_ap,std_test_ap,rank_test_ap,split0_test_roc,split1_test_roc,split2_test_roc,split3_test_roc,split4_test_roc,mean_test_roc,std_test_roc,rank_test_roc
2.57758207321167,0.061382962541097895,0.6350295066833496,0.063714661047551,0.1,,True,l2,liblinear,0.9,1,,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 1}",0.3743637142705466,0.47918851981351984,0.5137094421101773,0.2798897358679967,0.311921768707483,0.39181463615394463,0.09133140479843978,67,0.5989010989010989,0.7,0.7849999999999999,0.5828571428571429,0.5942857142857143,0.6522087912087912,0.07864343430758129,67
2.526464891433716,0.0658240293409321,0.6311293601989746,0.06004118771512537,0.1,,True,l2,liblinear,0.9,2,,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 2}",0.380245681092363,0.4945970695970696,0.5137094421101773,0.27189772787598876,0.3256222488995598,0.3972144339150317,0.09399161771869857,65,0.6098901098901099,0.7150000000000001,0.7849999999999999,0.5714285714285714,0.6057142857142856,0.6574065934065935,0.0798989474683184,63
2.5518337726593017,0.06484690416525893,0.6389396667480469,0.05817402373862502,0.1,,False,l2,liblinear,0.9,1,,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__dual': False, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 1}",0.3743637142705466,0.47918851981351984,0.5137094421101773,0.2798897358679967,0.311921768707483,0.39181463615394463,0.09133140479843978,67,0.5989010989010989,0.7,0.7849999999999999,0.5828571428571429,0.5942857142857143,0.6522087912087912,0.07864343430758129,67
2.5359045028686524,0.0649433634940856,0.6295637607574462,0.06374349969312126,0.1,,False,l2,liblinear,0.9,2,,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__dual': False, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 2}",0.380245681092363,0.4945970695970696,0.5137094421101773,0.27189772787598876,0.3256222488995598,0.3972144339150317,0.09399161771869857,65,0.6098901098901099,0.7150000000000001,0.7849999999999999,0.5714285714285714,0.6057142857142856,0.6574065934065935,0.0798989474683184,63
2.5637919902801514,0.06165992863933853,0.6411998271942139,0.07539092901715551,0.1,balanced,True,l2,liblinear,0.9,1,,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 1}",0.6255687893886651,0.628720238095238,0.5228091675266597,0.23803433136548535,0.4123669563519188,0.4854998965455934,0.14704487448959333,32,0.8296703296703296,0.79,0.73,0.5314285714285714,0.7257142857142858,0.7213626373626374,0.10257693117049506,16
2.530140495300293,0.06081665708764243,0.6344343185424804,0.06543430448302795,0.1,balanced,True,l2,liblinear,0.9,2,,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__dual': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 2}",0.6901078217848404,0.6298566017316016,0.4970114923439732,0.24005073601346893,0.3798851524415434,0.48738236086308556,0.16384005887404343,25,0.8516483516483517,0.7949999999999999,0.71,0.5371428571428571,0.7028571428571428,0.7193296703296703,0.10656890168082939,28
2.5538713455200197,0.06970196979058335,0.6325033664703369,0.05978439307706367,0.1,balanced,False,l2,liblinear,0.9,1,,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 1}",0.6255687893886651,0.628720238095238,0.5228091675266597,0.23803433136548535,0.4123669563519188,0.4854998965455934,0.14704487448959333,32,0.8296703296703296,0.79,0.73,0.5314285714285714,0.7257142857142858,0.7213626373626374,0.10257693117049506,16
2.5259140014648436,0.059597855390183904,0.6366191387176514,0.05477963110005296,0.1,balanced,False,l2,liblinear,0.9,2,,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 2}",0.6901078217848404,0.6298566017316016,0.4970114923439732,0.24005073601346893,0.3798851524415434,0.48738236086308556,0.16384005887404343,25,0.8516483516483517,0.7949999999999999,0.71,0.5371428571428571,0.7028571428571428,0.7193296703296703,0.10656890168082939,28
2.5603893756866456,0.06211164636896556,0.6338188171386718,0.062477723374864756,1.0,,True,l2,liblinear,0.9,1,,"{'classifier__C': 1, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 1}",0.6764147688060731,0.576993676258382,0.5893967874231032,0.24022675736961452,0.4271450354157121,0.502035405054577,0.1535000009907845,1,0.8131868131868132,0.755,0.77,0.5371428571428571,0.7371428571428571,0.7224945054945056,0.09602945548997077,4
2.527471494674683,0.06514663381226758,0.6307260990142822,0.06176489740351425,1.0,,True,l2,liblinear,0.9,2,,"{'classifier__C': 1, 'classifier__class_weight': None, 'classifier__dual': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.9, 'vectorizer__min_df': 2}",0.7280020703933747,0.5955914673561733,0.5337481962481962,0.23915861081274614,0.3861689480110533,0.4965338585643087,0.16923196005055557,5,0.8516483516483516,0.775,0.7500000000000001,0.5314285714285714,0.72,0.7256153846153846,0.10644980924670928,1
